ll
-1275.7273076946324
-1238.1655364802275
-1224.7658909710071
-1216.3735842761416
-1211.5369327700116
-1208.8464421668925
-1207.2430428082428
-1206.296258450295
-1205.6825772604054
-1205.266027205216
-1204.954831037934
-1204.7302850319618
-1204.5584869708725
-1204.421398142487
-1204.318086727121
-1204.231079814617
-1204.1636526733378
-1204.1062860675104
-1204.0624536539851
-1204.02102429594
-1203.9922857652907
-1203.9628689874874
-1203.9442442219818
-1203.9231990114856
-1203.9109404717765
-1203.8936550038054
-1203.884624351397
-1203.8719347720419
-1203.866108795072
-1203.8555137108033
-1203.8524467661816
-1203.8437632165483
-1203.8408866347015
-1203.8335583392757
-1203.8326140621543
-1203.8262719674904
-1203.8262437280923
-1203.8211509152532
-1203.821513987047
-1203.816428443002
-1203.818015231296
-1203.8134237709055
-1203.815326960728
-1203.8112648165702
-1203.8130569941375
-1203.808898570867
-1203.811117593824
-1203.8070495915908
-1203.8092984449409
-1203.8052838739488
