ll
-1268.9627899324723
-1187.5949295344278
-1183.1889486493253
-1169.9852721483455
-1171.6180410036854
-1166.8654311942234
-1168.4445701372088
-1166.224267886921
-1167.5624240790112
-1165.8821552944114
-1167.1477159770968
-1165.7343690484583
-1166.989171151308
-1165.6460713773165
-1166.8896037679472
-1165.5849470375097
-1166.7886075947442
-1165.5157279391212
-1166.742486718609
-1165.4935757207138
-1166.720669985602
-1165.4981283197349
-1166.695813398181
-1165.4633607814537
-1166.6503607710908
-1165.4358529889087
-1166.617229271993
-1165.422617617454
-1166.6234043843388
-1165.4300015775696
-1166.6066246099324
-1165.4214520823487
-1166.618963228945
-1165.4042631700786
-1166.5881738091825
-1165.4248740261519
-1166.6220991070306
-1165.4037277197835
-1166.5931616920234
-1165.4220071705508
-1166.6180267115865
-1165.416444453184
-1166.601825537067
-1165.41919982158
-1166.6133856419744
-1165.4221048618072
-1166.6056453886174
-1165.4183147888177
-1166.6153320895592
-1165.4226186831745
