ll
-1274.6867119291742
-1237.5005756460075
-1224.2650733230337
-1215.9312022424938
-1211.0149980927163
-1208.3443502292093
-1206.670793160242
-1205.709348567783
-1205.068319909529
-1204.6418770603404
-1204.3206444556763
-1204.0941896708987
-1203.913727631274
-1203.7727598132833
-1203.6609240086489
-1203.5718149642698
-1203.49847335127
-1203.4403455856525
-1203.3915311218323
-1203.3515452110125
-1203.3199655143676
-1203.2902683808427
-1203.269473251738
-1203.2472591805388
-1203.232393275237
-1203.2131960624295
-1203.2046118322835
-1203.1894023544764
-1203.1839353169473
-1203.17136169146
-1203.167397169501
-1203.1576063637694
-1203.1551831277359
-1203.1476559712655
-1203.1462462849217
-1203.1401801620257
-1203.1411927575941
-1203.1362640181992
-1203.137848809022
-1203.1334042252697
-1203.135451094499
-1203.1308461763663
-1203.1323444081704
-1203.128574568712
-1203.1308672363946
-1203.1269260607876
-1203.129612264118
-1203.1260353892887
-1203.127849480157
-1203.1247922389819
