ll
-1268.9627899324723
-1199.4289956563814
-1180.8834131731765
-1172.939913761036
-1168.5640775608838
-1165.9281646582697
-1164.3074478938688
-1163.2941085847785
-1162.6436926900215
-1162.211284253289
-1161.9124656886931
-1161.698102123315
-1161.538983663543
-1161.4175607464304
-1161.3225122111908
-1161.246611551384
-1161.185025458974
-1161.1342478554495
-1161.092124662221
-1161.0566529282721
-1161.0266549023556
-1161.0010333573323
-1160.9791118077335
-1160.9600788569571
-1160.9436312952412
-1160.9292289902767
-1160.9166715526605
-1160.9055728056026
-1160.8958162629633
-1160.8871460507364
-1160.8794530655261
-1160.8725878399162
-1160.8664649452844
-1160.8609555000824
-1160.8560171938786
-1160.851546632645
-1160.8475207588224
-1160.8438818937368
-1160.8405741469949
-1160.8375761436957
-1160.8348371894567
-1160.8323331765944
-1160.830047199412
-1160.8279500120473
-1160.826033490657
-1160.8242550526052
-1160.8226329751506
-1160.8211175297847
-1160.8197332232105
-1160.8184347366775
